student_index,predicted_category,confidence,risk_level,intervention_priority,top_recommendation
970,Medium,0.8213408356944233,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
971,Medium,0.6733632135044847,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
972,Low,0.5416935742786539,Critical,HIGH,Schedule one-on-one academic counseling within one week.
973,Medium,0.5600288382784673,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
974,Low,0.6252928994452106,Critical,HIGH,Schedule one-on-one academic counseling within one week.
975,Low,0.7203057782463201,Critical,HIGH,Schedule one-on-one academic counseling within one week.
976,Low,0.8096960841339071,Critical,HIGH,Schedule one-on-one academic counseling within one week.
977,Low,0.8898819789409148,Critical,HIGH,Schedule one-on-one academic counseling within one week.
978,Low,0.8303722970459049,Critical,HIGH,Schedule one-on-one academic counseling within one week.
979,Medium,0.7569715485059956,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
980,Low,0.8058199890616697,Critical,HIGH,Schedule one-on-one academic counseling within one week.
981,Low,0.5388384908335052,Critical,HIGH,Schedule one-on-one academic counseling within one week.
982,Low,0.7159620346061868,Critical,HIGH,Schedule one-on-one academic counseling within one week.
983,Low,0.5961484914207769,Critical,HIGH,Schedule one-on-one academic counseling within one week.
984,Medium,0.6237209865309792,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
985,Low,0.8545928316000437,Critical,HIGH,Schedule one-on-one academic counseling within one week.
986,High,0.6482692928253261,Low,LOW,Maintain current support level; recognize positive performance.
987,Medium,0.8299661925450437,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
988,High,0.6547095450096324,Low,LOW,Maintain current support level; recognize positive performance.
989,High,0.95026434785632,Low,LOW,Maintain current support level; recognize positive performance.
990,High,0.8922379957848687,Low,LOW,Maintain current support level; recognize positive performance.
991,High,0.9176453384721402,Low,LOW,Maintain current support level; recognize positive performance.
992,Low,0.7945823940111854,Critical,HIGH,Schedule one-on-one academic counseling within one week.
993,Medium,0.8011399931826807,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
994,High,0.6202394976719321,Low,LOW,Maintain current support level; recognize positive performance.
995,High,0.4839679401719313,Low,LOW,Maintain current support level; recognize positive performance.
996,Low,0.7389039055256688,Critical,HIGH,Schedule one-on-one academic counseling within one week.
997,Medium,0.6635209245310394,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
998,Low,0.7848849583053703,Critical,HIGH,Schedule one-on-one academic counseling within one week.
999,Medium,0.580420810328302,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
1000,Low,0.9030879093132352,Critical,HIGH,Schedule one-on-one academic counseling within one week.
1001,High,0.9184814958476317,Low,LOW,Maintain current support level; recognize positive performance.
1002,Medium,0.8074405434559915,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
1003,Medium,0.6254708840751796,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
1004,Medium,0.7934430489542311,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
1005,Low,0.803135043635573,Critical,HIGH,Schedule one-on-one academic counseling within one week.
1006,High,0.9072882318215579,Low,LOW,Maintain current support level; recognize positive performance.
1007,Medium,0.770009315712164,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
1008,Medium,0.8324385226314184,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
1009,Medium,0.7489205101414407,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
1010,High,0.7952637713799037,Low,LOW,Maintain current support level; recognize positive performance.
1011,High,0.6217547061776253,Low,LOW,Maintain current support level; recognize positive performance.
1012,High,0.9521712369728599,Low,LOW,Maintain current support level; recognize positive performance.
1013,High,0.7955723495236958,Low,LOW,Maintain current support level; recognize positive performance.
1014,Medium,0.732578763975975,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
1015,High,0.9370407702117606,Low,LOW,Maintain current support level; recognize positive performance.
1016,Medium,0.7334229419184353,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
1017,Low,0.6201997724978747,Critical,HIGH,Schedule one-on-one academic counseling within one week.
1018,High,0.9013881345867274,Low,LOW,Maintain current support level; recognize positive performance.
1019,Low,0.8981424235476676,Critical,HIGH,Schedule one-on-one academic counseling within one week.
1020,Medium,0.8496800320149278,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
1021,Low,0.7795319220515051,Critical,HIGH,Schedule one-on-one academic counseling within one week.
1022,Medium,0.7320288181147754,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
1023,Medium,0.8619672813302489,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
1024,Low,0.8422671956777503,Critical,HIGH,Schedule one-on-one academic counseling within one week.
1025,High,0.9609257848875664,Low,LOW,Maintain current support level; recognize positive performance.
1026,Medium,0.844834610730552,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
1027,Low,0.9264569644434951,Critical,HIGH,Schedule one-on-one academic counseling within one week.
1028,High,0.6594817401769447,Low,LOW,Maintain current support level; recognize positive performance.
1029,High,0.9247583269359986,Low,LOW,Maintain current support level; recognize positive performance.
1030,Low,0.7102540769023665,Critical,HIGH,Schedule one-on-one academic counseling within one week.
1031,High,0.9302141587905882,Low,LOW,Maintain current support level; recognize positive performance.
1032,Low,0.8734929672431246,Critical,HIGH,Schedule one-on-one academic counseling within one week.
1033,High,0.8753805695168522,Low,LOW,Maintain current support level; recognize positive performance.
1034,Low,0.8701762111020481,Critical,HIGH,Schedule one-on-one academic counseling within one week.
1035,Low,0.6792305764344215,Critical,HIGH,Schedule one-on-one academic counseling within one week.
1036,High,0.8854799109080903,Low,LOW,Maintain current support level; recognize positive performance.
1037,Medium,0.5532872440497499,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
1038,Medium,0.49098843593060304,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
1039,Medium,0.7538608881890708,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
1040,High,0.8852817939441638,Low,LOW,Maintain current support level; recognize positive performance.
1041,Medium,0.6180493688760738,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
1042,Medium,0.8200807177435078,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
1043,Medium,0.8138158971712126,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
